"PCT","total","FRISKED","PISTOL","FREQ","PERCENTAGE","normalisedFreq"
"68","14  ",8869,"Y","N",2461,0.46373501717572,0.277483369038223
"69","14  ",8869,"Y","Y",3,0.000565300711713596,0.000338256849701206
"70","17  ",1320,"N","N",918,0.17298201778436,0.695454545454545
"71","17  ",1320,"Y","N",401,0.0755618617990507,0.303787878787879
"72","17  ",1320,"Y","Y",1,0.000188433570571199,0.000757575757575758
"73","18  ",2963,"N","N",2053,0.386854120382671,0.692878839014512
"74","18  ",2963,"N","Y",1,0.000188433570571199,0.000337495781302734
"75","18  ",2963,"Y","N",909,0.17128611564922,0.306783665204185
"76","19  ",4646,"N","N",3378,0.636528601389509,0.72707705553164
"77","19  ",4646,"Y","N",1267,0.238745333913709,0.272707705553164
"78","19  ",4646,"Y","Y",1,0.000188433570571199,0.000215238915195867
"79","20  ",3260,"N","N",2102,0.39608736534066,0.64478527607362
"80","20  ",3260,"Y","N",1158,0.218206074721448,0.35521472392638
"81","22  ",588,"N","N",403,0.0759387289401931,0.685374149659864
"82","22  ",588,"Y","N",185,0.0348602105556718,0.314625850340136
"83","23  ",10993,"N","N",5428,1.02281742106047,0.493768761939416
"84","23  ",10993,"Y","N",5560,1.04769065237586,0.505776403165651
"85","23  ",10993,"Y","Y",5,0.000942167852855993,0.000454834894933139
"86","24  ",4198,"N","N",2674,0.503871367707385,0.63696998570748
"87","24  ",4198,"Y","N",1521,0.286607460838793,0.362315388280133
"88","24  ",4198,"Y","Y",3,0.000565300711713596,0.000714626012386851
"89","25  ",6350,"N","N",2969,0.559459271025889,0.46755905511811
"90","25  ",6350,"Y","N",3371,0.635209566395511,0.530866141732283
"91","25  ",6350,"Y","Y",10,0.00188433570571199,0.0015748031496063
"92","26  ",5399,"N","N",2547,0.479940304244843,0.471754028523801
"93","26  ",5399,"Y","N",2842,0.535528207563347,0.526393776625301
"94","26  ",5399,"Y","Y",10,0.00188433570571199,0.00185219485089831
"95","28  ",6691,"N","N",3942,0.742805135191665,0.589149603945599
"96","28  ",6691,"Y","N",2744,0.517061717647369,0.410103123598864
"97","28  ",6691,"Y","Y",5,0.000942167852855993,0.000747272455537289
"98","30  ",6156,"N","N",3048,0.574345523101014,0.495126705653021
"99","30  ",6156,"Y","N",3105,0.585086236623572,0.504385964912281
"100","30  ",6156,"Y","Y",3,0.000565300711713596,0.000487329434697856
"101","32  ",10656,"N","N",4139,0.779926548594191,0.38841966966967
"102","32  ",10656,"N","Y",1,0.000188433570571199,9.38438438438438e-05
"103","32  ",10656,"Y","N",6505,1.22576037656565,0.610454204204204
"104","32  ",10656,"Y","Y",11,0.00207276927628319,0.00103228228228228
"105","33  ",3612,"N","N",1427,0.268894705205101,0.395071982281285
"106","33  ",3612,"Y","N",2183,0.411350484556927,0.60437430786268
"107","33  ",3612,"Y","Y",2,0.000376867141142397,0.000553709856035437
"108","34  ",9664,"N","N",4940,0.930861838621722,0.511175496688742
"109","34  ",9664,"N","Y",1,0.000188433570571199,0.000103476821192053
"110","34  ",9664,"Y","N",4715,0.888464285243202,0.48789321192053
"111","34  ",9664,"Y","Y",8,0.00150746856456959,0.000827814569536424
"112","40  ",18229,"N","N",5417,1.02074465178418,0.297163859783861
"113","40  ",18229,"N","Y",1,0.000188433570571199,5.48576444127489e-05
"114","40  ",18229,"Y","N",12795,2.41100753545849,0.701903560261122
"115","40  ",18229,"Y","Y",16,0.00301493712913918,0.000877722310603983
"116","41  ",8596,"N","N",3215,0.605813929386404,0.374011167985109
"117","41  ",8596,"Y","N",5376,1.01301887539076,0.625407166123778
"118","41  ",8596,"Y","Y",5,0.000942167852855993,0.000581665891112145
"119","42  ",7737,"N","N",2183,0.411350484556927,0.282150704407393
"120","42  ",7737,"Y","N",5530,1.04203764525873,0.714747318081944
"121","42  ",7737,"Y","Y",24,0.00452240569370877,0.00310197751066305
"122","43  ",10630,"N","N",4355,0.82062819983757,0.409689557855127
"123","43  ",10630,"Y","N",6259,1.17940571820513,0.588805268109125
"124","43  ",10630,"Y","Y",16,0.00301493712913918,0.00150517403574788
"125","44  ",15378,"N","N",3519,0.663097734840048,0.228833398361295
"126","44  ",15378,"Y","N",11826,2.228415405575,0.769020678891923
"127","44  ",15378,"Y","Y",33,0.00621830782884956,0.00214592274678112
"128","45  ",3990,"N","N",2192,0.413046386692068,0.54937343358396
"129","45  ",3990,"Y","N",1796,0.338426692745873,0.450125313283208
"130","45  ",3990,"Y","Y",2,0.000376867141142397,0.00050125313283208
"131","46  ",5619,"N","N",1146,0.215944871874594,0.203950880939669
"132","46  ",5619,"Y","N",4467,0.841732759741545,0.794981313400961
"133","46  ",5619,"Y","Y",6,0.00113060142342719,0.00106780565936999
"134","47  ",8917,"N","N",3399,0.640485706371504,0.381182011887406
"135","47  ",8917,"N","Y",11,0.00207276927628319,0.00123359874397219
"136","47  ",8917,"Y","N",5484,1.03336970101245,0.615005046540316
"137","47  ",8917,"Y","Y",23,0.00433397212313757,0.00257934282830548
"138","48  ",5408,"N","N",1837,0.346152469139292,0.339681952662722
"139","48  ",5408,"N","Y",2,0.000376867141142397,0.000369822485207101
"140","48  ",5408,"Y","N",3562,0.67120037837461,0.658653846153846
"141","48  ",5408,"Y","Y",7,0.00131903499399839,0.00129437869822485
"142","49  ",5771,"N","N",2413,0.454690205788302,0.418125108300121
"143","49  ",5771,"Y","N",3344,0.630121859990088,0.579448968982845
"144","49  ",5771,"Y","Y",14,0.00263806998799678,0.00242592271703344
"145","5   ",2756,"N","N",1603,0.302059013625631,0.581640058055152
"146","5   ",2756,"Y","N",1151,0.21688703972745,0.417634252539913
"147","5   ",2756,"Y","Y",2,0.000376867141142397,0.000725689404934688
"148","50  ",1818,"N","N",916,0.172605150643218,0.503850385038504
"149","50  ",1818,"Y","N",902,0.169967080655221,0.496149614961496
"150","52  ",9735,"N","N",3244,0.611278502932968,0.333230611196713
"151","52  ",9735,"Y","N",6476,1.22029580301908,0.665228556753981
"152","52  ",9735,"Y","Y",15,0.00282650355856798,0.00154083204930663
"153","6   ",3600,"N","N",1859,0.350298007691858,0.516388888888889
"154","6   ",3600,"Y","N",1740,0.327874412793886,0.483333333333333
"155","6   ",3600,"Y","Y",1,0.000188433570571199,0.000277777777777778
"156","60  ",7775,"N","N",3171,0.597522852281271,0.407845659163987
"157","60  ",7775,"Y","N",4593,0.865475389633515,0.590739549839228
"158","60  ",7775,"Y","Y",11,0.00207276927628319,0.00141479099678457
"159","61  ",6681,"N","N",3866,0.728484183828254,0.578655889836851
