"PCT","total","FRISKED","KNIFCUTI","FREQ","PERCENTAGE","normalisedFreq"
"126","30  ",6156,"N","Y",4,0.000753734282284795,0.000649772579597141
"127","30  ",6156,"Y","N",3062,0.57698359308901,0.497400909681611
"128","30  ",6156,"Y","Y",46,0.00866794424627514,0.00747238466536712
"129","32  ",10656,"N","N",4138,0.77973811502362,0.388325825825826
"130","32  ",10656,"N","Y",2,0.000376867141142397,0.000187687687687688
"131","32  ",10656,"Y","N",6461,1.21746929946051,0.606325075075075
"132","32  ",10656,"Y","Y",55,0.0103638463814159,0.00516141141141141
"133","33  ",3612,"N","N",1425,0.268517838063958,0.394518272425249
"134","33  ",3612,"N","Y",2,0.000376867141142397,0.000553709856035437
"135","33  ",3612,"Y","N",2158,0.406639645292647,0.597452934662237
"136","33  ",3612,"Y","Y",27,0.00508770640542236,0.00747508305647841
"137","34  ",9664,"N","N",4938,0.930484971480579,0.510968543046358
"138","34  ",9664,"N","Y",3,0.000565300711713596,0.000310430463576159
"139","34  ",9664,"Y","N",4649,0.876027669585503,0.481063741721854
"140","34  ",9664,"Y","Y",74,0.0139440842222687,0.00765728476821192
"141","40  ",18229,"N","N",5412,1.01980248393133,0.296889571561797
"142","40  ",18229,"N","Y",6,0.00113060142342719,0.000329145866476494
"143","40  ",18229,"Y","N",12680,2.3893376748428,0.695594931153656
"144","40  ",18229,"Y","Y",131,0.024684797744827,0.00718635141807011
"145","41  ",8596,"N","N",3215,0.605813929386404,0.374011167985109
"146","41  ",8596,"Y","N",5367,1.01132297325562,0.624360167519777
"147","41  ",8596,"Y","Y",14,0.00263806998799678,0.00162866449511401
"148","42  ",7737,"N","N",2180,0.410785183845213,0.28176295721856
"149","42  ",7737,"N","Y",3,0.000565300711713596,0.000387747188832881
"150","42  ",7737,"Y","N",5491,1.03468873600645,0.709706604627116
"151","42  ",7737,"Y","Y",63,0.0118713149459855,0.0081426909654905
"152","43  ",10630,"N","N",4351,0.819874465555285,0.40931326434619
"153","43  ",10630,"N","Y",4,0.000753734282284795,0.000376293508936971
"154","43  ",10630,"Y","N",6176,1.16376573184772,0.580997177798683
"155","43  ",10630,"Y","Y",99,0.0186549234865487,0.00931326434619003
"156","44  ",15378,"N","N",3519,0.663097734840048,0.228833398361295
"157","44  ",15378,"Y","N",11670,2.19901976856589,0.758876316816231
"158","44  ",15378,"Y","Y",189,0.0356139448379566,0.0122902848224737
"159","45  ",3990,"N","N",2191,0.412857953121496,0.549122807017544
"160","45  ",3990,"N","Y",1,0.000188433570571199,0.00025062656641604
"161","45  ",3990,"Y","N",1768,0.333150552769879,0.443107769423559
"162","45  ",3990,"Y","Y",30,0.00565300711713596,0.0075187969924812
"163","46  ",5619,"N","N",1133,0.213495235457168,0.201637302011034
"164","46  ",5619,"N","Y",13,0.00244963641742558,0.00231357892863499
"165","46  ",5619,"Y","N",4418,0.832499514783556,0.786260900516106
"166","46  ",5619,"Y","Y",55,0.0103638463814159,0.00978821854422495
"167","47  ",8917,"N","N",3406,0.641804741365503,0.381967029269934
"168","47  ",8917,"N","Y",4,0.000753734282284795,0.000448581361444432
"169","47  ",8917,"Y","N",5447,1.02639765890132,0.610855668946955
"170","47  ",8917,"Y","Y",60,0.0113060142342719,0.00672872042166648
"171","48  ",5408,"N","N",1836,0.345964035568721,0.339497041420118
"172","48  ",5408,"N","Y",3,0.000565300711713596,0.000554733727810651
"173","48  ",5408,"Y","N",3544,0.667808574104328,0.655325443786982
"174","48  ",5408,"Y","Y",25,0.00471083926427997,0.00462278106508876
"175","49  ",5771,"N","N",2413,0.454690205788302,0.418125108300121
"176","49  ",5771,"Y","N",3315,0.624657286443524,0.574423843354705
"177","49  ",5771,"Y","Y",43,0.00810264353456154,0.00745104834517415
"178","5   ",2756,"N","N",1597,0.300928412202204,0.579462989840348
"179","5   ",2756,"N","Y",6,0.00113060142342719,0.00217706821480406
"180","5   ",2756,"Y","N",1122,0.211422466180885,0.40711175616836
"181","5   ",2756,"Y","Y",31,0.00584144068770716,0.0112481857764877
