"PCT","total","FRISKED","OTHRWEAP","FREQ","PERCENTAGE","normalisedFreq"
"85","18  ",2963,"N","N",2052,0.3866656868121,0.69254134323321
"86","18  ",2963,"N","Y",2,0.000376867141142397,0.000674991562605467
"87","18  ",2963,"Y","N",906,0.170720814937506,0.305771177860277
"88","18  ",2963,"Y","Y",3,0.000565300711713596,0.0010124873439082
"89","19  ",4646,"N","N",3378,0.636528601389509,0.72707705553164
"90","19  ",4646,"Y","N",1261,0.237614732490282,0.271416272061989
"91","19  ",4646,"Y","Y",7,0.00131903499399839,0.00150667240637107
"92","20  ",3260,"N","N",2102,0.39608736534066,0.64478527607362
"93","20  ",3260,"Y","N",1152,0.217075473298021,0.353374233128834
"94","20  ",3260,"Y","Y",6,0.00113060142342719,0.00184049079754601
"95","22  ",588,"N","N",402,0.0757502953696219,0.683673469387755
"96","22  ",588,"N","Y",1,0.000188433570571199,0.00170068027210884
"97","22  ",588,"Y","N",182,0.0342949098439582,0.30952380952381
"98","22  ",588,"Y","Y",3,0.000565300711713596,0.00510204081632653
"99","23  ",10993,"N","N",5427,1.0226289874899,0.493677794960429
"100","23  ",10993,"N","Y",1,0.000188433570571199,9.09669789866279e-05
"101","23  ",10993,"Y","N",5554,1.04656005095244,0.505230601291731
"102","23  ",10993,"Y","Y",11,0.00207276927628319,0.00100063676885291
"103","24  ",4198,"N","N",2670,0.5031176334251,0.636017151024297
"104","24  ",4198,"N","Y",4,0.000753734282284795,0.000952834683182468
"105","24  ",4198,"Y","N",1518,0.28604216012708,0.361600762267747
"106","24  ",4198,"Y","Y",6,0.00113060142342719,0.0014292520247737
"107","25  ",6350,"N","N",2968,0.559270837455318,0.46740157480315
"108","25  ",6350,"N","Y",1,0.000188433570571199,0.00015748031496063
"109","25  ",6350,"Y","N",3366,0.634267398542655,0.53007874015748
"110","25  ",6350,"Y","Y",15,0.00282650355856798,0.00236220472440945
"111","26  ",5399,"N","N",2544,0.479375003533129,0.471198370068531
"112","26  ",5399,"N","Y",3,0.000565300711713596,0.000555658455269494
"113","26  ",5399,"Y","N",2844,0.535905074704489,0.526764215595481
"114","26  ",5399,"Y","Y",8,0.00150746856456959,0.00148175588071865
"115","28  ",6691,"N","N",3939,0.742239834479952,0.588701240472276
"116","28  ",6691,"N","Y",3,0.000565300711713596,0.000448363473322373
"117","28  ",6691,"Y","N",2738,0.515931116223942,0.409206396652219
"118","28  ",6691,"Y","Y",11,0.00207276927628319,0.00164399940218204
"119","30  ",6156,"N","N",3047,0.574157089530442,0.494964262508122
"120","30  ",6156,"N","Y",1,0.000188433570571199,0.000162443144899285
"121","30  ",6156,"Y","N",3093,0.582825033776718,0.502436647173489
"122","30  ",6156,"Y","Y",15,0.00282650355856798,0.00243664717348928
"123","32  ",10656,"N","N",4139,0.779926548594191,0.38841966966967
"124","32  ",10656,"N","Y",1,0.000188433570571199,9.38438438438438e-05
"125","32  ",10656,"Y","N",6492,1.22331074014822,0.609234234234234
"126","32  ",10656,"Y","Y",24,0.00452240569370877,0.00225225225225225
"127","33  ",3612,"N","N",1427,0.268894705205101,0.395071982281285
"128","33  ",3612,"Y","N",2177,0.4102198831335,0.602713178294574
"129","33  ",3612,"Y","Y",8,0.00150746856456959,0.00221483942414175
"130","34  ",9664,"N","N",4940,0.930861838621722,0.511175496688742
"131","34  ",9664,"N","Y",1,0.000188433570571199,0.000103476821192053
"132","34  ",9664,"Y","N",4696,0.884884047402349,0.485927152317881
"133","34  ",9664,"Y","Y",27,0.00508770640542236,0.00279387417218543
"134","40  ",18229,"N","N",5417,1.02074465178418,0.297163859783861
"135","40  ",18229,"N","Y",1,0.000188433570571199,5.48576444127489e-05
"136","40  ",18229,"Y","N",12772,2.40667356333535,0.700641834439629
"137","40  ",18229,"Y","Y",39,0.00734890925227675,0.00213944813209721
"138","41  ",8596,"N","N",3214,0.605625495815833,0.373894834806887
"139","41  ",8596,"N","Y",1,0.000188433570571199,0.000116333178222429
"140","41  ",8596,"Y","N",5374,1.01264200824962,0.625174499767334
"141","41  ",8596,"Y","Y",7,0.00131903499399839,0.000814332247557003
"142","42  ",7737,"N","N",2183,0.411350484556927,0.282150704407393
"143","42  ",7737,"Y","N",5527,1.04147234454702,0.714359570893111
"144","42  ",7737,"Y","Y",27,0.00508770640542236,0.00348972469949593
"145","43  ",10630,"N","N",4347,0.819120731273001,0.408936970837253
"146","43  ",10630,"N","Y",8,0.00150746856456959,0.000752587017873942
"147","43  ",10630,"Y","N",6247,1.17714451535828,0.587676387582314
"148","43  ",10630,"Y","Y",28,0.00527613997599356,0.0026340545625588
"149","44  ",15378,"N","N",3519,0.663097734840048,0.228833398361295
"150","44  ",15378,"Y","N",11821,2.22747323772214,0.768695539081805
"151","44  ",15378,"Y","Y",38,0.00716047568170555,0.00247106255689947
"152","45  ",3990,"N","N",2192,0.413046386692068,0.54937343358396
"153","45  ",3990,"Y","N",1789,0.337107657751874,0.448370927318296
"154","45  ",3990,"Y","Y",9,0.00169590213514079,0.00225563909774436
"155","46  ",5619,"N","N",1146,0.215944871874594,0.203950880939669
"156","46  ",5619,"Y","N",4462,0.840790591888689,0.794091475351486
"157","46  ",5619,"Y","Y",11,0.00207276927628319,0.00195764370884499
"158","47  ",8917,"N","N",3408,0.642181608506645,0.382191319950656
"159","47  ",8917,"N","Y",2,0.000376867141142397,0.000224290680722216
"160","47  ",8917,"Y","N",5499,1.03619620457102,0.616687226645733
"161","47  ",8917,"Y","Y",8,0.00150746856456959,0.000897162722888864
"162","48  ",5408,"N","N",1838,0.346340902709863,0.339866863905325
"163","48  ",5408,"N","Y",1,0.000188433570571199,0.00018491124260355
"164","48  ",5408,"Y","N",3563,0.671388811945181,0.65883875739645
"165","48  ",5408,"Y","Y",6,0.00113060142342719,0.0011094674556213
"166","49  ",5771,"N","N",2413,0.454690205788302,0.418125108300121
"167","49  ",5771,"Y","N",3344,0.630121859990088,0.579448968982845
"168","49  ",5771,"Y","Y",14,0.00263806998799678,0.00242592271703344
"169","5   ",2756,"N","N",1601,0.301682146484489,0.580914368650218
"170","5   ",2756,"N","Y",2,0.000376867141142397,0.000725689404934688
"171","5   ",2756,"Y","N",1146,0.215944871874594,0.415820029027576
"172","5   ",2756,"Y","Y",7,0.00131903499399839,0.00253991291727141
"173","50  ",1818,"N","N",916,0.172605150643218,0.503850385038504
"174","50  ",1818,"Y","N",900,0.169590213514079,0.495049504950495
"175","50  ",1818,"Y","Y",2,0.000376867141142397,0.0011001100110011
"176","52  ",9735,"N","N",3243,0.611090069362397,0.333127889060092
"177","52  ",9735,"N","Y",1,0.000188433570571199,0.000102722136620442
"178","52  ",9735,"Y","N",6469,1.21897676802508,0.664509501797637
"179","52  ",9735,"Y","Y",22,0.00414553855256637,0.00225988700564972
"180","6   ",3600,"N","N",1859,0.350298007691858,0.516388888888889
"181","6   ",3600,"Y","N",1737,0.327309112082172,0.4825
"182","6   ",3600,"Y","Y",4,0.000753734282284795,0.00111111111111111
"183","60  ",7775,"N","N",3168,0.596957551569557,0.407459807073955
"184","60  ",7775,"N","Y",3,0.000565300711713596,0.000385852090032154
"185","60  ",7775,"Y","N",4581,0.863214186786661,0.5891961414791
"186","60  ",7775,"Y","Y",23,0.00433397212313757,0.00295819935691318
"187","61  ",6681,"N","N",3866,0.728484183828254,0.578655889836851
"188","61  ",6681,"Y","N",2805,0.528556165452212,0.419847328244275
