"PCT","total","FRISKED","ASLTWEAP","FREQ","PERCENTAGE","normalisedFreq"
"107","47  ",8917,"Y","N",5507,1.03770367313559,0.617584389368622
"108","48  ",5408,"N","N",1839,0.346529336280434,0.340051775147929
"109","48  ",5408,"Y","N",3569,0.672519413368608,0.659948224852071
"110","49  ",5771,"N","N",2413,0.454690205788302,0.418125108300121
"111","49  ",5771,"Y","N",3357,0.632571496407514,0.581701611505805
"112","49  ",5771,"Y","Y",1,0.000188433570571199,0.000173280194073817
"113","5   ",2756,"N","N",1603,0.302059013625631,0.581640058055152
"114","5   ",2756,"Y","N",1153,0.217263906868592,0.418359941944848
"115","50  ",1818,"N","N",916,0.172605150643218,0.503850385038504
"116","50  ",1818,"Y","N",902,0.169967080655221,0.496149614961496
"117","52  ",9735,"N","N",3242,0.610901635791826,0.333025166923472
"118","52  ",9735,"N","Y",2,0.000376867141142397,0.000205444273240883
"119","52  ",9735,"Y","N",6491,1.22312230657765,0.666769388803287
"120","6   ",3600,"N","N",1859,0.350298007691858,0.516388888888889
"121","6   ",3600,"Y","N",1741,0.328062846364457,0.483611111111111
"122","60  ",7775,"N","N",3171,0.597522852281271,0.407845659163987
"123","60  ",7775,"Y","N",4601,0.866982858198085,0.591768488745981
"124","60  ",7775,"Y","Y",3,0.000565300711713596,0.000385852090032154
"125","61  ",6681,"N","N",3866,0.728484183828254,0.578655889836851
"126","61  ",6681,"Y","N",2815,0.530440501157924,0.421344110163149
"127","62  ",4462,"N","N",2340,0.440934555136605,0.524428507395787
"128","62  ",4462,"Y","N",2121,0.399667603181512,0.475347377857463
"129","62  ",4462,"Y","Y",1,0.000188433570571199,0.000224114746750336
"130","63  ",3651,"N","N",1171,0.220655711138874,0.320734045466995
"131","63  ",3651,"Y","N",2479,0.467126821446001,0.678992056970693
"132","63  ",3651,"Y","Y",1,0.000188433570571199,0.000273897562311695
"133","66  ",3420,"N","N",1451,0.273417110898809,0.424269005847953
"134","66  ",3420,"Y","N",1968,0.370837266884119,0.575438596491228
"135","66  ",3420,"Y","Y",1,0.000188433570571199,0.000292397660818713
"136","67  ",10783,"N","N",4550,0.857372746098954,0.421960493369192
"137","67  ",10783,"Y","N",6231,1.17412957822914,0.577854029490865
"138","67  ",10783,"Y","Y",2,0.000376867141142397,0.000185477139942502
"139","68  ",2548,"N","N",1562,0.294333237232212,0.613029827315542
"140","68  ",2548,"Y","N",986,0.185795500583202,0.386970172684458
"141","69  ",5357,"N","N",2872,0.541181214680483,0.536120963225686
"142","69  ",5357,"Y","N",2485,0.468257422869429,0.463879036774314
"143","7   ",3483,"N","N",1209,0.227816186820579,0.347114556416882
"144","7   ",3483,"Y","N",2274,0.428497939478906,0.652885443583118
"145","70  ",11124,"N","N",4563,0.85982238251638,0.410194174757282
"146","70  ",11124,"Y","N",6561,1.23631265651763,0.589805825242718
"147","71  ",4658,"N","N",2265,0.426802037343765,0.486260197509661
"148","71  ",4658,"Y","N",2392,0.450733100806307,0.513525118076428
"149","71  ",4658,"Y","Y",1,0.000188433570571199,0.00021468441391155
"150","72  ",5139,"N","N",2393,0.450921534376878,0.465654796653045
"151","72  ",5139,"Y","N",2746,0.517438584788512,0.534345203346955
"152","73  ",21901,"N","N",12022,2.26534838540695,0.5489247066344
"153","73  ",21901,"Y","N",9878,1.8613468101023,0.451029633350075
"154","73  ",21901,"Y","Y",1,0.000188433570571199,4.56600155244053e-05
"155","75  ",24306,"N","N",11892,2.2408520212327,0.489261910639348
"156","75  ",24306,"Y","N",12414,2.33921434507086,0.510738089360652
"157","76  ",4476,"N","N",2608,0.491434752049686,0.58266309204647
"158","76  ",4476,"Y","N",1868,0.351993909826999,0.41733690795353
"159","77  ",9903,"N","N",4616,0.869809361756653,0.466121377360396
"160","77  ",9903,"Y","N",5286,0.996059854039356,0.533777643138443
"161","77  ",9903,"Y","Y",1,0.000188433570571199,0.000100979501161264
"162","78  ",3274,"N","N",2069,0.38986905751181,0.631948686621869
"163","78  ",3274,"Y","N",1205,0.227062452538294,0.368051313378131
"164","79  ",15179,"N","N",6846,1.29001622413043,0.451017853613545
"165","79  ",15179,"Y","N",8333,1.5702169435698,0.548982146386455
"166","81  ",9635,"N","N",3643,0.686463497590877,0.378100674623768
"167","81  ",9635,"Y","N",5992,1.12909395486262,0.621899325376232
"168","83  ",11795,"N","N",4435,0.835702885483266,0.376006782534972
"169","83  ",11795,"Y","N",7360,1.38687107940402,0.623993217465028
"170","84  ",3807,"N","N",2268,0.427367338055479,0.595744680851064
"171","84  ",3807,"Y","N",1539,0.289999265109075,0.404255319148936
"172","88  ",5921,"N","N",2910,0.548341690362188,0.491471035298092
"173","88  ",5921,"Y","N",3010,0.567185047419308,0.508360074311772
"174","88  ",5921,"Y","Y",1,0.000188433570571199,0.000168890390136801
"175","9   ",5221,"N","N",2596,0.489173549202832,0.497222754261636
"176","9   ",5221,"N","Y",1,0.000188433570571199,0.00019153418885271
"177","9   ",5221,"Y","N",2624,0.494449689178825,0.502585711549512
"178","90  ",9831,"N","N",5289,0.99662515475107,0.537992065913946
"179","90  ",9831,"Y","N",4542,0.855865277534384,0.462007934086054
"180","94  ",2089,"N","N",1138,0.214437403310024,0.544758257539493
"181","94  ",2089,"Y","N",951,0.17920032561321,0.455241742460507
