"PCT","total","FRISKED","ARSTMADE","FREQ","PERCENTAGE","normalisedFreq"
"189","5   ",2756,"N","N",1536,0.289433964397361,0.55732946298984
"190","5   ",2756,"N","Y",67,0.0126250492282703,0.024310595065312
"191","5   ",2756,"Y","N",916,0.172605150643218,0.332365747460087
"192","5   ",2756,"Y","Y",237,0.0446587562253741,0.0859941944847605
"193","50  ",1818,"N","N",886,0.166952143526082,0.487348734873487
"194","50  ",1818,"N","Y",30,0.00565300711713596,0.0165016501650165
"195","50  ",1818,"Y","N",729,0.137368072946404,0.400990099009901
"196","50  ",1818,"Y","Y",173,0.0325990077088174,0.0951595159515952
"197","52  ",9735,"N","N",3202,0.603364292968978,0.328916281458654
"198","52  ",9735,"N","Y",42,0.00791420996399034,0.00431432973805855
"199","52  ",9735,"Y","N",6088,1.14718357763746,0.625372367745249
"200","52  ",9735,"Y","Y",403,0.0759387289401931,0.041397021058038
"201","6   ",3600,"N","N",1831,0.345021867715865,0.508611111111111
"202","6   ",3600,"N","Y",28,0.00527613997599356,0.00777777777777778
"203","6   ",3600,"Y","N",1569,0.295652272226211,0.435833333333333
"204","6   ",3600,"Y","Y",172,0.0324105741382462,0.0477777777777778
"205","60  ",7775,"N","N",3103,0.584709369482429,0.399099678456592
"206","60  ",7775,"N","Y",68,0.0128134827988415,0.0087459807073955
"207","60  ",7775,"Y","N",4172,0.786144856423041,0.536591639871383
"208","60  ",7775,"Y","Y",432,0.0814033024867578,0.0555627009646302
"209","61  ",6681,"N","N",3827,0.721135274575977,0.572818440353241
"210","61  ",6681,"N","Y",39,0.00734890925227675,0.00583744948361024
"211","61  ",6681,"Y","N",2661,0.50142173128996,0.398293668612483
"212","61  ",6681,"Y","Y",154,0.0290187698679646,0.0230504415506661
"213","62  ",4462,"N","N",2307,0.434716247307755,0.517032720753026
"214","62  ",4462,"N","Y",33,0.00621830782884956,0.00739578664276109
"215","62  ",4462,"Y","N",1961,0.369518231890121,0.439489018377409
"216","62  ",4462,"Y","Y",161,0.030337804861963,0.0360824742268041
"217","63  ",3651,"N","N",1145,0.215756438304022,0.313612708846891
"218","63  ",3651,"N","Y",26,0.00489927283485117,0.00712133662010408
"219","63  ",3651,"Y","N",2309,0.435093114448898,0.632429471377705
"220","63  ",3651,"Y","Y",171,0.032222140567675,0.0468364831552999
"221","66  ",3420,"N","N",1409,0.265502900934819,0.411988304093567
"222","66  ",3420,"N","Y",42,0.00791420996399034,0.012280701754386
"223","66  ",3420,"Y","N",1690,0.318452734265326,0.494152046783626
"224","66  ",3420,"Y","Y",279,0.0525729661893644,0.0815789473684211
"225","67  ",10783,"N","N",4512,0.850212270417249,0.418436427710285
"226","67  ",10783,"N","Y",38,0.00716047568170555,0.00352406565890754
"227","67  ",10783,"Y","N",5970,1.12494841631006,0.553649262728369
"228","67  ",10783,"Y","Y",263,0.0495580290602253,0.024390243902439
"229","68  ",2548,"N","N",1545,0.291129866532502,0.606357927786499
"230","68  ",2548,"N","Y",17,0.00320337069971038,0.00667189952904239
"231","68  ",2548,"Y","N",819,0.154327094297812,0.321428571428571
"232","68  ",2548,"Y","Y",167,0.0314684062853902,0.065541601255887
"233","69  ",5357,"N","N",2847,0.536470375416203,0.531454172111256
"234","69  ",5357,"N","Y",25,0.00471083926427997,0.00466679111442972
"235","69  ",5357,"Y","N",2342,0.441311422277747,0.437184991599776
"236","69  ",5357,"Y","Y",143,0.0269460005916814,0.026694045174538
"237","7   ",3483,"N","N",1153,0.217263906868592,0.331036462819409
"238","7   ",3483,"N","Y",56,0.0105522799519871,0.0160780935974734
"239","7   ",3483,"Y","N",1949,0.367257029043266,0.559575078954924
"240","7   ",3483,"Y","Y",325,0.0612409104356396,0.0933103646281941
"241","70  ",11124,"N","N",4552,0.857749613240096,0.409205321826681
"242","70  ",11124,"N","Y",11,0.00207276927628319,0.000988852930600503
"243","70  ",11124,"Y","N",6421,1.20993195663767,0.577220424307803
"244","70  ",11124,"Y","Y",140,0.0263806998799678,0.0125854009349155
"245","71  ",4658,"N","N",2161,0.40720494600436,0.46393301846286
"246","71  ",4658,"N","Y",104,0.0195970913394047,0.0223271790468012
"247","71  ",4658,"Y","N",2146,0.404378442445792,0.460712752254186
"248","71  ",4658,"Y","Y",247,0.0465430919310861,0.0530270502361529
"249","72  ",5139,"N","N",2375,0.447529730106597,0.462152169682818
"250","72  ",5139,"N","Y",18,0.00339180427028158,0.00350262697022767
"251","72  ",5139,"Y","N",2534,0.477490667827417,0.493092041253162
"252","72  ",5139,"Y","Y",212,0.0399479169610941,0.0412531620937926
"253","73  ",21901,"N","N",11903,2.24292479050898,0.543491164786996
"254","73  ",21901,"N","Y",119,0.0224235948979726,0.00543354184740423
"255","73  ",21901,"Y","N",9489,1.7880461511501,0.433267887311082
"256","73  ",21901,"Y","Y",390,0.0734890925227675,0.0178074060545181
"257","75  ",24306,"N","N",11757,2.21541348920558,0.483707726487287
"258","75  ",24306,"N","Y",135,0.0254385320271118,0.00555418415206122
"259","75  ",24306,"Y","N",11939,2.24970839904954,0.491195589566362
"260","75  ",24306,"Y","Y",475,0.0895059460213194,0.0195424997942895
"261","76  ",4476,"N","N",2587,0.487477647067691,0.577971403038427
"262","76  ",4476,"N","Y",21,0.00395710498199517,0.0046916890080429
"263","76  ",4476,"Y","N",1605,0.302435880766774,0.35857908847185
"264","76  ",4476,"Y","Y",263,0.0495580290602253,0.0587578194816801
"265","77  ",9903,"N","N",4518,0.851342871840676,0.456225386246592
"266","77  ",9903,"N","Y",98,0.0184664899159775,0.0098959911138039
"267","77  ",9903,"Y","N",5015,0.944994356414561,0.50641219832374
"268","77  ",9903,"Y","Y",272,0.051253931195366,0.0274664243158639
"269","78  ",3274,"N","N",2056,0.387419421094384,0.62797800855223
"270","78  ",3274,"N","Y",13,0.00244963641742558,0.00397067806963958
"271","78  ",3274,"Y","N",1119,0.210857165469171,0.341783750763592
"272","78  ",3274,"Y","Y",86,0.0162052870691231,0.0262675626145388
"273","79  ",15179,"N","N",6742,1.27041913279102,0.444166282363792
"274","79  ",15179,"N","Y",104,0.0195970913394047,0.00685157124975295
"275","79  ",15179,"Y","N",7950,1.49804688604103,0.523749917649384
"276","79  ",15179,"Y","Y",383,0.0721700575287691,0.025232228737071
"277","81  ",9635,"N","N",3591,0.676664951921174,0.372703684483653
"278","81  ",9635,"N","Y",52,0.00979854566970233,0.00539699014011417
"279","81  ",9635,"Y","N",5671,1.06860677870927,0.58858329008822
"280","81  ",9635,"Y","Y",321,0.0604871761533548,0.0333160352880125
"281","83  ",11795,"N","N",4366,0.822700969113853,0.370156846121238
"282","83  ",11795,"N","Y",69,0.0130019163694127,0.00584993641373463
"283","83  ",11795,"Y","N",6856,1.29190055983614,0.581263247138618
"284","83  ",11795,"Y","Y",504,0.0949705195678841,0.0427299703264095
"285","84  ",3807,"N","N",2222,0.418699393809203,0.583661675860257
"286","84  ",3807,"N","Y",46,0.00866794424627514,0.0120830049908064
"287","84  ",3807,"Y","N",1380,0.260038327388254,0.362490149724192
"288","84  ",3807,"Y","Y",159,0.0299609377208206,0.0417651694247439
"289","88  ",5921,"N","N",2819,0.531194235440209,0.476102009795643
