Precinct,Type,1990,1993,1998,2001,2012
72,G.L.A.,1602,975,484,403,112
72,TOTAL,5386,4224,2577,1940,1146
73,Murder,60,74,26,26,15
73,Rape,113,88,74,54,35
73,Robbery,2914,2252,879,625,578
73,Fel. Assault,1519,1143,816,665,663
73,Burglary,1313,789,501,522,316
73,Gr. Larceny,1293,949,418,409,490
73,G.L.A.,1031,713,309,296,155
73,TOTAL,8243,6008,3023,2597,2252
75,Murder,109,126,41,35,18
75,Rape,133,122,112,89,75
75,Robbery,3452,3152,1628,1146,847
75,Fel. Assault,1789,1474,1068,1053,909
75,Burglary,2433,1854,1170,568,657
75,Gr. Larceny,1286,965,651,737,990
75,G.L.A.,3071,2662,1020,845,281
75,TOTAL,12273,10355,5690,4473,3777
76,Murder,13,8,7,4,
76,Rape,15,15,14,4,8
76,Robbery,571,398,199,132,114
76,Fel. Assault,392,307,167,131,119
76,Burglary,735,438,269,203,101
76,Gr. Larceny,327,235,161,152,240
76,G.L.A.,666,401,201,106,48
76,TOTAL,2719,1802,1018,732,630
77,Murder,70,82,9,19,10
77,Rape,99,71,52,43,20
77,Robbery,2412,2202,772,487,358
77,Fel. Assault,1307,1190,648,498,339
77,Burglary,2130,1582,722,575,309
77,Gr. Larceny,705,599,346,387,412
77,G.L.A.,1242,774,291,347,114
77,TOTAL,7965,6500,2840,2356,1562
78,Murder,5,7,1,1,1
78,Rape,12,26,12,11,3
78,Robbery,1115,865,464,251,175
78,Fel. Assault,251,268,158,108,86
78,Burglary,1644,797,498,344,178
78,Gr. Larceny,550,510,452,369,547
78,G.L.A.,1596,1034,370,244,53
78,TOTAL,5173,3507,1955,1328,1043
79,Murder,71,55,17,25,11
79,Rape,98,76,67,42,18
79,Robbery,2442,2086,838,636,476
79,Fel. Assault,1349,1131,716,599,515
79,Burglary,1706,1268,555,449,325
79,Gr. Larceny,867,858,354,288,471
79,G.L.A.,744,558,224,332,100
79,TOTAL,7277,6032,2771,2371,1916
81,Murder,49,26,10,18,16
81,Rape,51,79,29,31,21
81,Robbery,1444,1229,584,410,350
81,Fel. Assault,902,850,547,421,318
81,Burglary,981,863,448,377,335
81,Gr. Larceny,472,386,219,226,433
81,G.L.A.,691,588,154,197,96
81,TOTAL,4590,4021,1991,1680,1569
83,Murder,77,44,12,12,9
83,Rape,80,62,46,57,38
83,Robbery,2242,1528,700,551,471
83,Fel. Assault,1173,845,498,537,380
83,Burglary,1670,1386,677,522,519
83,Gr. Larceny,822,566,284,280,429
83,G.L.A.,1352,942,334,334,179
83,TOTAL,7416,5373,2551,2293,2025
84,Murder,18,11,1,3,3
84,Rape,27,22,16,5,5
84,Robbery,1908,1314,462,279,181
84,Fel. Assault,384,432,280,200,134
84,Burglary,1563,820,392,312,140
84,Gr. Larceny,1715,1136,732,736,553
84,G.L.A.,920,733,273,149,23
84,TOTAL,6535,4468,2156,1684,1039
88,Murder,19,25,10,11,4
88,Rape,54,32,18,16,10
88,Robbery,1536,1188,399,419,266
88,Fel. Assault,639,479,188,209,205
88,Burglary,1029,1099,229,232,205
88,Gr. Larceny,611,544,207,331,391
88,G.L.A.,1053,748,310,319,81
88,TOTAL,4941,4115,1361,1537,1162
90,Murder,24,22,2,12,5
