"BoroCT2010","ACS_p_white","ACS_p_black","ACS_p_hispanic","ACS_p_edu_grad_HS","ACS_p_household_white","ACS_p_household_black","ACS_p_household_asian","ACS_p_household_hispanic","ACS_p_US_citizen","ACS_p_home_lang_english","ACS_p_home_lang_spanish","ACS_p_home_lang_other","ACS_p_pop_poverty","ACS_p_unemployed","ACS_p_civilian_labor_force","ACS_p_poverty_under100","ACS_p_poverty_100to149","ACS_p_poverty_200over","ACS_p_income_indv_75000ormore","ACS_p_house_social_security","ACS_p_house_supplemental_security","ACS_p_house_public_assistance","ACS_p_house_SNAP","ACS_avg_per_capita_income","stops"
4060000,5.773195876,92.37113402,4.329896907,40.58823529,7.196029777,89.57816377,0,3.722084367,96.28865979,86.15702479,5.475206612,8.367768595,100,5.617977528,51.2371134,5.773195876,0.206185567,83.09278351,12.80898876,43.17617866,1.240694789,0,13.39950372,30302,39
4060100,87.08708709,1.051051051,26.57657658,39.81623277,91.63292848,0,1.754385965,21.99730095,86.28628629,51.875,22.67045455,25.45454546,99.54954955,6.666666667,50.85085085,11.51332328,7.642031171,79.08496732,10.05840363,21.32253711,0,0,13.90013495,25407,17
4060300,91.13622844,0.356930399,26.94824509,39.43661972,91.96185286,0,1.226158038,23.97820164,83.58120167,61.15151515,22.24242424,16.60606061,100,3.676470588,56.39500297,6.781677573,6.484235574,71.56454491,12.96791444,32.97002725,4.495912807,0.817438692,6.948228883,37066,45
4060600,2.175664787,89.12167607,6.929895246,24.36670688,0.43956044,90.76923077,0,5.494505495,93.55358582,78.57142857,6.331168831,15.0974026,100,0.201207244,59.06526994,5.237711523,4.270749396,90.00805802,15.64885496,21.31868132,2.197802198,0,10.54945055,33436,58
4060701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4060800,2.711496746,97.28850325,0,26.20938628,2.409638554,97.59036145,0,0,89.96746204,86.81996635,0.392596747,12.7874369,100,3.292682927,59.27331887,1.193058568,1.843817787,93.27548807,10.53593179,41.76706827,6.425702811,0,4.618473896,32764,113
4061000,4.437229437,93.23593074,7.9004329,26.69527897,7.77537797,92.22462203,0,12.74298056,93.83116883,91.33554084,2.869757174,5.794701987,100,3.153426319,52.5974026,15.47619048,1.298701299,81.70995671,8.549066827,45.78833693,4.319654428,0,4.319654428,26905,86
4061200,10.19757808,89.10133843,10.83492671,32.87435456,8.722109534,89.04665314,0,8.31643002,87.9541109,79.9071618,6.763925729,13.32891247,100,1.094890511,47.1637986,5.608667941,0,91.9056724,13.57664234,45.23326572,2.636916836,0,9.330628803,31083,48
4061301,83.32003192,1.137270551,23.54349561,34.05875952,87.81148429,1.462621885,5.904658722,22.86023835,75.17956903,42.53071783,19.22828196,38.24100022,99.76057462,7.506835695,49.42138867,14.96,5.96,67.94,9.532019704,27.19393283,3.575297942,1.083423619,7.908992416,27217,149
4061302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4061400,4.742818971,87.44154977,2.338009352,33.80547687,0,92.58312021,0,2.301790281,78.55711423,77.46891002,5.852231163,16.67885882,100,3.766025641,49.63259853,2.070808283,1.135604542,90.38076152,14.39873418,29.41176471,9.207161125,11.25319693,13.29923274,28611,30
4061601,2.117647059,94.44705882,3.482352941,30.35826524,3.554868624,95.51777434,0.927357033,0.927357033,91.01176471,87.93269231,3.221153846,8.846153846,100,2.609661299,56.65882353,0.894117647,2.729411765,95.34117647,8.401976936,39.72179289,12.67387944,0.927357033,8.191653787,33691,53
4061602,9.307520477,88.23529412,9.977661951,34.34225844,18.735363,78.45433255,0,14.75409836,87.19285182,73.13915858,7.686084142,19.17475728,100,4.448742747,55.5472822,5.361131795,8.860759494,75.65152643,11.9205298,43.32552693,0,0,0.702576112,32267,100
4061800,7.265625,81.171875,4.0625,20.31558185,12.75071633,81.23209169,2.722063037,6.59025788,97.34375,82.03688853,4.570970329,13.39214114,100,1.618705036,56.640625,1.484375,2.109375,92.5,14.99118166,33.66762178,0.859598854,2.148997135,7.593123209,41560,91
4061900,89.75185305,1.74025137,21.33419272,39.04109589,90.9965035,1.660839161,0.786713287,23.95104895,87.04479536,60.55517478,16.03838245,23.40644277,100,4.745235317,48.53367709,14.34096036,5.317434741,70.02900419,12.84121492,29.72027972,0,1.486013986,5.944055944,26123,16
4062000,0,94.82879106,3.074772886,26.05893186,0,95.18348624,0,2.52293578,92.24318658,83.57791754,3.494060098,12.92802236,100,5.319148936,64.70999301,9.433962264,0.978336827,88.05031447,14.92890995,38.99082569,0,3.440366973,16.74311927,33797,37
