"inc[, 1]","V1"
"14000US36061007800",2
"14000US36061007900",4
"14000US36061008000",2
"14000US36061008100",2
"14000US36061008200",2
"14000US36061008300",3
"14000US36061008400",2
"14000US36061008601",2
"14000US36061008603",4
"14000US36061008700",2
"14000US36061008800",2
"14000US36061008900",2
"14000US36061009000",2
"14000US36061009100",2
"14000US36061009200",4
"14000US36061009300",2
"14000US36061009500",2
"14000US36061009600",2
"14000US36061009700",3
"14000US36061009800",2
"14000US36061009900",4
"14000US36061010000",2
"14000US36061010100",2
"14000US36061010200",3
"14000US36061010300",2
"14000US36061010400",2
"14000US36061010601",4
"14000US36061010602",2
"14000US36061010800",4
"14000US36061010900",2
"14000US36061011000",2
"14000US36061011100",3
"14000US36061011201",4
"14000US36061011202",4
"14000US36061011203",2
"14000US36061011300",3
"14000US36061011401",4
"14000US36061011402",4
"14000US36061011500",3
"14000US36061011600",3
"14000US36061011700",2
"14000US36061011800",4
"14000US36061011900",1
"14000US36061012000",4
"14000US36061012100",3
"14000US36061012200",4
"14000US36061012400",2
"14000US36061012500",2
"14000US36061012600",2
"14000US36061012700",3
"14000US36061012800",4
"14000US36061012900",2
"14000US36061013000",4
"14000US36061013100",2
"14000US36061013200",2
"14000US36061013300",3
"14000US36061013400",2
"14000US36061013500",3
"14000US36061013600",2
"14000US36061013700",4
"14000US36061013800",2
"14000US36061013900",2
"14000US36061014000",4
"14000US36061014200",4
"14000US36061014401",2
"14000US36061014402",2
"14000US36061014500",2
"14000US36061014601",2
"14000US36061014602",2
"14000US36061014700",2
"14000US36061014801",4
"14000US36061014802",2
"14000US36061014900",4
"14000US36061015001",4
"14000US36061015002",4
"14000US36061015100",3
"14000US36061015200",2
"14000US36061015300",4
"14000US36061015400",2
"14000US36061015500",2
"14000US36061015601",3
"14000US36061015602",3
"14000US36061015700",2
"14000US36061015801",4
"14000US36061015802",3
"14000US36061015900",4
"14000US36061016001",4
"14000US36061016002",2
"14000US36061016100",2
"14000US36061016200",1
"14000US36061016300",4
"14000US36061016400",3
"14000US36061016500",4
"14000US36061016600",1
"14000US36061016700",2
"14000US36061016800",1
"14000US36061016900",2
"14000US36061017000",1
"14000US36061017100",2
"14000US36061017200",1
"14000US36061017300",2
"14000US36061017401",1
"14000US36061017402",1
"14000US36061017500",2
"14000US36061017700",3
"14000US36061017800",1
"14000US36061017900",2
"14000US36061018000",1
"14000US36061018100",2
"14000US36061018200",1
"14000US36061018300",2
"14000US36061018400",1
"14000US36061018500",2
"14000US36061018600",1
