"fs[, 1]","V1"
"14000US36047028502",2
"14000US36047028600",2
"14000US36047028700",2
"14000US36047028800",1
"14000US36047028900",2
"14000US36047029000",1
"14000US36047029100",1
"14000US36047029200",1
"14000US36047029300",2
"14000US36047029400",1
"14000US36047029500",1
"14000US36047029600",1
"14000US36047029700",2
"14000US36047029800",1
"14000US36047029900",2
"14000US36047030000",1
"14000US36047030100",2
"14000US36047030200",1
"14000US36047030300",2
"14000US36047030400",1
"14000US36047030500",2
"14000US36047030600",1
"14000US36047030700",2
"14000US36047030800",1
"14000US36047030900",1
"14000US36047031100",1
"14000US36047031300",1
"14000US36047031400",1
"14000US36047031500",2
"14000US36047031701",2
"14000US36047031702",1
"14000US36047031900",1
"14000US36047032100",2
"14000US36047032300",1
"14000US36047032500",2
"14000US36047032600",3
"14000US36047032700",1
"14000US36047032800",2
"14000US36047032900",2
"14000US36047033000",2
"14000US36047033100",1
"14000US36047033300",1
"14000US36047033500",1
"14000US36047033600",1
"14000US36047033700",1
"14000US36047033900",1
"14000US36047034000",1
"14000US36047034100",1
"14000US36047034200",2
"14000US36047034300",2
"14000US36047034500",1
"14000US36047034700",2
"14000US36047034800",2
"14000US36047034900",2
"14000US36047035000",1
"14000US36047035100",3
"14000US36047035200",1
"14000US36047035300",2
"14000US36047035400",1
"14000US36047035500",2
"14000US36047035601",1
"14000US36047035602",2
"14000US36047035700",3
"14000US36047035900",2
"14000US36047036001",2
"14000US36047036002",2
"14000US36047036100",1
"14000US36047036200",2
"14000US36047036300",2
"14000US36047036400",1
"14000US36047036501",1
"14000US36047036502",1
"14000US36047036600",1
"14000US36047036700",1
"14000US36047036900",2
"14000US36047037000",1
"14000US36047037100",2
"14000US36047037300",2
"14000US36047037401",1
"14000US36047037402",2
"14000US36047037500",2
"14000US36047037700",2
"14000US36047037900",3
"14000US36047038100",3
"14000US36047038200",2
"14000US36047038300",2
"14000US36047038500",2
"14000US36047038600",1
"14000US36047038700",2
"14000US36047038800",1
"14000US36047038900",2
"14000US36047039000",1
"14000US36047039100",1
"14000US36047039200",1
"14000US36047039300",1
"14000US36047039400",1
"14000US36047039500",2
"14000US36047039600",1
